latitude,longitude,Emmisions
32.532237,-86.64644,GHG emissions mtons CO2e
30.659218,-87.746067,GHG emissions mtons CO2e
31.870253,-85.405104,GHG emissions mtons CO2e
33.015893,-87.127148,GHG emissions mtons CO2e
33.977358,-86.56644,GHG emissions mtons CO2e
32.101759,-85.717261,GHG emissions mtons CO2e
31.751667,-86.681969,GHG emissions mtons CO2e
33.771706,-85.822513,GHG emissions mtons CO2e
32.915504,-85.394032,GHG emissions mtons CO2e
34.069515,-85.654242,GHG emissions mtons CO2e
32.854051,-86.726607,GHG emissions mtons CO2e
31.990997,-88.248908,GHG emissions mtons CO2e
31.685521,-87.818624,GHG emissions mtons CO2e
33.2704,-85.863525,GHG emissions mtons CO2e
33.671964,-85.516126,GHG emissions mtons CO2e
31.402258,-85.989602,GHG emissions mtons CO2e
34.703112,-87.801457,GHG emissions mtons CO2e
31.430926,-86.988722,GHG emissions mtons CO2e
32.931445,-86.243482,GHG emissions mtons CO2e
31.243987,-86.448721,GHG emissions mtons CO2e
31.732826,-86.319222,GHG emissions mtons CO2e
34.131923,-86.869267,GHG emissions mtons CO2e
31.430654,-85.609476,GHG emissions mtons CO2e
32.33354,-87.114356,GHG emissions mtons CO2e
34.460929,-85.803992,GHG emissions mtons CO2e
32.597229,-86.142735,GHG emissions mtons CO2e
31.122287,-87.16841,GHG emissions mtons CO2e
34.047641,-86.034263,GHG emissions mtons CO2e
33.716157,-87.764292,GHG emissions mtons CO2e
34.441989,-87.842814,GHG emissions mtons CO2e
31.092393,-85.821011,GHG emissions mtons CO2e
32.844497,-87.9642,GHG emissions mtons CO2e
32.752796,-87.623061,GHG emissions mtons CO2e
31.516978,-85.239971,GHG emissions mtons CO2e
31.158193,-85.296398,GHG emissions mtons CO2e
34.764114,-85.980056,GHG emissions mtons CO2e
33.553444,-86.896536,GHG emissions mtons CO2e
33.787085,-88.087431,GHG emissions mtons CO2e
34.904122,-87.650997,GHG emissions mtons CO2e
34.529776,-87.321865,GHG emissions mtons CO2e
32.604064,-85.353048,GHG emissions mtons CO2e
34.810239,-86.981399,GHG emissions mtons CO2e
32.147888,-86.650586,GHG emissions mtons CO2e
32.387027,-85.692887,GHG emissions mtons CO2e
34.764238,-86.55108,GHG emissions mtons CO2e
32.247591,-87.791091,GHG emissions mtons CO2e
34.138219,-87.881551,GHG emissions mtons CO2e
34.309564,-86.321668,GHG emissions mtons CO2e
30.684572,-88.196568,GHG emissions mtons CO2e
31.580332,-87.383266,GHG emissions mtons CO2e
32.202881,-86.204461,GHG emissions mtons CO2e
34.454484,-86.846402,GHG emissions mtons CO2e
32.639005,-87.293827,GHG emissions mtons CO2e
33.296793,-88.096863,GHG emissions mtons CO2e
31.798651,-85.941604,GHG emissions mtons CO2e
33.296475,-85.464068,GHG emissions mtons CO2e
32.289811,-85.18698,GHG emissions mtons CO2e
33.712963,-86.315663,GHG emissions mtons CO2e
33.263043,-86.678089,GHG emissions mtons CO2e
32.597481,-88.200057,GHG emissions mtons CO2e
33.369314,-86.17593,GHG emissions mtons CO2e
32.863369,-85.799553,GHG emissions mtons CO2e
33.29022,-87.522783,GHG emissions mtons CO2e
33.791558,-87.301094,GHG emissions mtons CO2e
31.405217,-88.197564,GHG emissions mtons CO2e
31.990085,-87.304907,GHG emissions mtons CO2e
34.154607,-87.36529,GHG emissions mtons CO2e
55.245044,-161.997477,GHG emissions mtons CO2e
51.959447,178.338813,GHG emissions mtons CO2e
61.17425,-149.284329,GHG emissions mtons CO2e
60.929141,-160.152625,GHG emissions mtons CO2e
58.730149,-156.996679,GHG emissions mtons CO2e
63.681106,-150.026544,GHG emissions mtons CO2e
60.299091,-158.09732,GHG emissions mtons CO2e
64.692317,-146.601733,GHG emissions mtons CO2e
59.098771,-135.576936,GHG emissions mtons CO2e
58.403336,-135.884909,GHG emissions mtons CO2e
58.37291,-134.178445,GHG emissions mtons CO2e
60.366668,-152.322283,GHG emissions mtons CO2e
55.449938,-131.106685,GHG emissions mtons CO2e
57.270775,-153.953863,GHG emissions mtons CO2e
62.28306,-163.190903,GHG emissions mtons CO2e
58.108693,-156.414141,GHG emissions mtons CO2e
62.279075,-149.617562,GHG emissions mtons CO2e
64.783686,-164.188912,GHG emissions mtons CO2e
69.449343,-153.47283,GHG emissions mtons CO2e
67.005066,-160.021086,GHG emissions mtons CO2e
57.112458,-133.008598,GHG emissions mtons CO2e
55.682773,-133.162389,GHG emissions mtons CO2e
57.193204,-135.367396,GHG emissions mtons CO2e
59.575097,-135.335418,GHG emissions mtons CO2e
63.864997,-143.218628,GHG emissions mtons CO2e
61.34984,-145.023141,GHG emissions mtons CO2e
56.180779,-132.026788,GHG emissions mtons CO2e
60.019872,-140.414566,GHG emissions mtons CO2e
65.375716,-151.577878,GHG emissions mtons CO2e
35.385084,-109.490172,GHG emissions mtons CO2e
31.840129,-109.775163,GHG emissions mtons CO2e
35.829692,-111.773728,GHG emissions mtons CO2e
33.789618,-110.81187,GHG emissions mtons CO2e
32.931828,-109.87831,GHG emissions mtons CO2e
33.238872,-109.242323,GHG emissions mtons CO2e
33.72761,-114.038806,GHG emissions mtons CO2e
33.346541,-112.495534,GHG emissions mtons CO2e
35.717705,-113.749689,GHG emissions mtons CO2e
35.390785,-110.321025,GHG emissions mtons CO2e
32.128523,-111.783027,GHG emissions mtons CO2e
32.919038,-111.367005,GHG emissions mtons CO2e
31.525733,-110.845228,GHG emissions mtons CO2e
34.631212,-112.577385,GHG emissions mtons CO2e
32.773942,-113.910905,GHG emissions mtons CO2e
34.28957,-91.376547,GHG emissions mtons CO2e
33.190835,-91.772267,GHG emissions mtons CO2e
36.28071,-92.330438,GHG emissions mtons CO2e
36.337825,-94.256187,GHG emissions mtons CO2e
36.304308,-93.079204,GHG emissions mtons CO2e
33.466549,-92.169156,GHG emissions mtons CO2e
33.56046,-92.513879,GHG emissions mtons CO2e
36.337774,-93.541663,GHG emissions mtons CO2e
33.267139,-91.297158,GHG emissions mtons CO2e
34.053316,-93.176208,GHG emissions mtons CO2e
36.367302,-90.418704,GHG emissions mtons CO2e
35.566315,-92.05995,GHG emissions mtons CO2e
33.893201,-92.188714,GHG emissions mtons CO2e
33.223038,-93.232843,GHG emissions mtons CO2e
35.265702,-92.689248,GHG emissions mtons CO2e
35.827729,-90.631421,GHG emissions mtons CO2e
35.583041,-94.236224,GHG emissions mtons CO2e
35.211878,-90.315331,GHG emissions mtons CO2e
