county_state_name,population,Emissions_per_person
"Thayer County, NE",5163,5.94944799535154
"Nelson County, ND",3032,5.106530343007916
"Jefferson County, NE",7354,4.999048137068262
"Steele County, ND",1969,4.990858303707466
"Fillmore County, NE",5676,4.774136715997181
"Traill County, ND",8075,4.744767801857585
"Saline County, NE",14356,4.691696851490666
"Butler County, MO",42887,4.552195303938256
"Maries County, MO",8987,4.541671302993213
"Griggs County, ND",2311,4.521852012115967
"Wayne County, MO",13341,4.48429652949554
"Gasconade County, MO",14875,4.480403361344538
"Carter County, MO",6249,4.452552408385341
"Franklin County, MO",102063,4.433261808882749
"Caldwell County, MO",9057,4.420227448382467
"Montgomery County, MO",11820,4.414890016920474
"Ripley County, MO",13936,4.41123708381171
"Walsh County, ND",10995,4.397271487039563
"Ralls County, MO",10225,4.364987775061125
"Henry County, MO",21930,4.36078431372549
"Reynolds County, MO",6530,4.354977029096478
"Knox County, MO",3997,4.349261946459845
"Washington County, MO",25002,4.348932085433165
"Holt County, MO",4537,4.339431342296672
"Clark County, MO",6860,4.337026239067056
"New Madrid County, MO",18229,4.335619068517198
"Dunklin County, MO",31271,4.334687090275335
"Towner County, ND",2292,4.3320244328097735
"Mingo County, WV",25549,4.3106970918626955
"Stoddard County, MO",29788,4.306667114274204
"Scott County, MO",38994,4.280581627942761
"Pembina County, ND",7136,4.277606502242152
"Monroe County, MO",8642,4.272737792177737
"York County, NE",13842,4.269180754226268
"Atchison County, MO",5380,4.2381040892193305
"Laclede County, MO",35505,4.232051823686804
"Wheeler County, NE",805,4.211180124223603
"Pierce County, ND",4373,4.208552481134233
"Wright County, MO",18378,4.20709544020024
"Gage County, NE",21778,4.204013224354854
"St. Francois County, MO",66230,4.200860637173486
"Warren County, MO",33290,4.192189846800841
"Iron County, MO",10220,4.181409001956947
"Bottineau County, ND",6650,4.16390977443609
"Worth County, MO",2061,4.155264434740417
"Clinton County, MO",20494,4.149751146677076
"Pemiscot County, MO",17599,4.1165975339507925
"Cedar County, NE",8657,4.109737784451888
"Linn County, MO",12319,4.075899017777417
"Wells County, ND",4179,4.0739411342426415
"Sheridan County, ND",1395,4.069534050179212
"Grant County, NE",647,4.068006182380216
"Jefferson County, MO",222453,4.065051943556616
"Benton County, MO",18825,4.059442231075697
"Wyoming County, WV",22537,4.0470781381727825
"Madison County, NE",35125,4.033281138790036
"Hamilton County, IL",8251,4.022421524663677
"Dent County, MO",15578,4.001733213506227
"Phelps County, MO",44833,3.986773135859746
"Letcher County, KY",23382,3.9837054144213497
"Sheridan County, MT",3645,3.982990397805213
"Stanton County, NE",6022,3.944204583194952
"Shelby County, MO",6148,3.943721535458686
"Pike County, KY",62791,3.9436702712172127
"Schuyler County, MO",4396,3.9408553230209282
"Howell County, MO",40265,3.9322240158946977
"Antelope County, NE",6421,3.931474848154493
"Pierce County, NE",7179,3.9302131216046803
"Crook County, WY",7284,3.9297089511257552
"Washington County, IL",14369,3.9295010091168487
"Lincoln County, MO",54286,3.9273293298456324
"Loup County, NE",542,3.9243542435424352
"Union County, IL",17458,3.9176881658838356
"St. Clair County, MO",9444,3.9173019906819144
"Camden County, MO",44152,3.9148169958325783
"Linn County, KS",9524,3.9146367072658546
"Cherry County, NE",5781,3.91437467566165
"Franklin County, NE",3076,3.9118985695708712
"Andrew County, MO",17347,3.911800311293019
"Miami County, KS",32787,3.910696312562906
"Cape Girardeau County, MO",78089,3.906875488224974
"Mississippi County, MO",14112,3.905824829931973
"Morgan County, MO",20182,3.899960360717471
"Gallatin County, IL",5325,3.8927699530516433
"Edwards County, IL",6612,3.892014519056261
"Sherman County, NE",3090,3.889644012944984
"Rock County, MN",9554,3.8893657106970903
"Bates County, MO",16513,3.883667413552958
"Crawford County, MO",24545,3.879405174169892
"Miller County, MO",25011,3.873335732277798
"Stewart County, TN",13257,3.871992155087878
"Ste. Genevieve County, MO",17937,3.869264648491944
"Ozark County, MO",9450,3.8685714285714288
"Williamson County, IL",67336,3.868287394558631
"Webster County, MO",37075,3.865542818610924
"LaMoure County, ND",4111,3.864753101435174
"McDowell County, WV",20273,3.8642529472697675
"Weston County, WY",7175,3.862299651567944
"Sioux County, NE",1274,3.8618524332810047
"Logan County, WV",35166,3.8564238184610136
"Cooper County, MO",17613,3.8553341282007607
"Taylor County, IA",6209,3.8484458044773717
"Wayne County, IL",16517,3.842707513470969
"Sargent County, ND",3889,3.839804577012085
"Bollinger County, MO",12282,3.8378928513271453
"Gentry County, MO",6745,3.8346923647146034
"Madison County, MO",12403,3.823994194952834
"McPherson County, NE",425,3.8211764705882354
"Cotton County, OK",6062,3.816232266578687
"Oregon County, MO",10922,3.8036989562351216
"Thomas County, NE",675,3.802962962962963
"Highland County, VA",2230,3.8
"Cedar County, MO",13932,3.7939994257823715
"Franklin County, IL",39503,3.792952433992355
"Massac County, IL",14883,3.7870053080696096
"Cole County, MO",76603,3.784016291790139
"Dade County, MO",7590,3.7816864295125163
"Charles City County, VA",7086,3.780976573525261
"Blaine County, NE",580,3.779310344827586
"Lewis County, MO",10146,3.7764636309875814
"White County, IL",14410,3.7749479528105483
"Wabash County, IL",11587,3.7749201691550875
"Saline County, IL",24659,3.774118982927126
"Hickory County, MO",9267,3.7727419876982844
"Dixon County, NE",5809,3.771561370287485
"Platte County, NE",32703,3.77063266367
"Daviess County, MO",8257,3.7654111662831538
"St. Louis city, MO",316030,3.7633674018289405
"Monroe County, IL",33703,3.7567278877251282
"Hooker County, NE",669,3.7518684603886396
"Howard County, NE",6365,3.7486252945797327
"Vernon County, MO",20836,3.7441447494720674
"Osage County, MO",13704,3.7424839462930533
"Valley County, NE",4240,3.7386792452830186
"Dallas County, MO",16508,3.7384298521928763
"Callaway County, MO",44693,3.7383482872038125
"Calhoun County, IL",4962,3.737404272470778
"Cuming County, NE",9055,3.736388735505246
"Cavalier County, ND",3867,3.7357124385828806
"Taney County, MO",53853,3.733645293669805
"Burt County, NE",6594,3.732635729451016
"Merrick County, NE",7793,3.731682278968305
"Adair County, MO",25547,3.7303401573570283
"Dundy County, NE",1823,3.7295666483817884
"Pope County, IL",4255,3.726439482961222
"Clark County, IL",16089,3.7258375287463483
"Clay County, NE",6313,3.724695073657532
"Sanborn County, SD",2349,3.7160493827160495
"Jefferson County, IL",38523,3.7140928795784336
"Johnson County, IL",12866,3.7116430903155604
"Kiowa County, OK",9239,3.7099253165927046
"Jersey County, IL",22441,3.709371240140814
"Pike County, MO",18475,3.708741542625169
"Mercer County, WV",61476,3.7040308413039233
"Livingston County, MO",15057,3.696885169688517
"New Kent County, VA",20051,3.692484165378285
"Grundy County, MO",10231,3.68722510018571
"Goochland County, VA",21979,3.6778288366167704
"Logan County, NE",830,3.6771084337349396
"Gloucester County, VA",37021,3.676913103373761
"Marion County, IL",38503,3.6653507518894632
"Harlan County, KY",28031,3.664549962541472
"Harrison County, MO",8649,3.66273557636721
"Shannon County, MO",8256,3.6626695736434107
"Harmon County, OK",2813,3.6626377532883043
"Clay County, IL",13466,3.6479281152532304
"Barton County, MO",12075,3.647453416149068
"Norton city, VA",3978,3.6435394670688788
